Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Lao PDR,LAO,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,..,94.4,..,66.3,..,..,..,..
Lao PDR,LAO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.21212121,21.21212121,22.93577982,22.93577982,22.93577982,22.93577982,25.2173913,25,25,27.51677852
Lao PDR,LAO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,46.1438475,48.52493097,50.8838608,53.21832339,55.5286019,57.74583781,59.80960308,75.58182611,77.46057221,79.59784865
Lao PDR,LAO,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Lao PDR,LAO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.977,22.993,24.044,25.126,26.242,27.186,27.748,32.487,33.108,33.736
Lao PDR,LAO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,54.4,..,51,..,47.5,..,44.1,30.4,..,27
Lao PDR,LAO,Population density (people per sq. km of land area),EN.POP.DNST,23.53055893,23.91554159,24.28986568,24.64932842,24.99205806,25.35948873,25.76513432,28.99243501,29.4082279,29.85859185
Lao PDR,LAO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.791543217,0.717115235,0.583934898,0.492156926,0.433725286,0.392508609,0.343162745,..,..,..
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.378,59.07,59.534,60.031,60.293,60.98,61.493,66.361,66.67,67.167
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.35159302,99.34656525,99.33395386,99.3161087,99.90000153,99.27410889,99.38381958,99.48232269,99.58317566,99.72562408
Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.627423887,3.848286704,3.786252442,3.865848193,3.90821713,3.721459456,3.439442323,4.008547829,4.221652336,4.443711943
Lebanon,LBN,Forest area (% of land area),AG.LND.FRST.ZS,13.50733138,13.49921799,13.49110459,13.4829912,13.47487781,13.46676442,13.45865103,13.65923754,13.71749756,13.77614858
Lebanon,LBN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8100,8280,8230,7470,9290,9990,10450,14810,15220,16320
Lebanon,LBN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,7.8,8.6,9.6,10.7,10.9,10.5,5.5,5.9,6.2
Lebanon,LBN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,94.48,86.49,94.34,92.61,100.09,93.89,96.02,95.09,98.71,106.2
Lebanon,LBN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lebanon,LBN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.499,2.462,2.41,2.345,2.27,2.203,2.157,2.182,2.178,2.183
Lebanon,LBN,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,..,..,20.37,..,..,..,..,..
Lebanon,LBN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,2.34375,2.34375,2.34375,2.34375,2.34375,4.6875,4.6875,3.125,3.125,3.125
Lebanon,LBN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,85.87790159,86.23432965,86.59075771,86.94718578,87.30361384,87.6600419,88.01646996,90.86789445,91.22432251,91.58075057
Lebanon,LBN,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86,86.118,86.24,86.366,86.494,86.627,86.762,87.947,88.106,88.266
Lebanon,LBN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,92.4,..,92.4,..,92.41022,4.5,..,4.5
Lebanon,LBN,Population density (people per sq. km of land area),EN.POP.DNST,422.3501466,429.0518084,434.6692082,440.3525904,447.1942326,453.8654936,461.3747801,613.3276637,625.5073314,611.7907136
Lebanon,LBN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.392100304,5.447896245,4.753300903,4.675691109,4.514245069,4.478931727,4.576037849,4.678175228,4.486884345,5.062663113
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.931,74.365,75.064,75.593,75.976,76.273,76.08,78.973,79.229,79.505
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,4.258759975,1.252269268,3.361658573,5.465812683,6.800000191,9.667811394,9.699999809,27.79999924,31.67733383,35.07159042
Lesotho,LSO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.197135038,0.199002437,0.203250608,0.203559405,0.214416959,0.21821319,0.215603153,0.288797189,0.306723417,0.321521061
Lesotho,LSO,Forest area (% of land area),AG.LND.FRST.ZS,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398
Lesotho,LSO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1630,1950,2000,2110,2130,2150,2220,3050,3350,3290
Lesotho,LSO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,20,18.5,16.8,15.3,13.7,12.8,26.1,30.3,32
Lesotho,LSO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,104.39,121.03,100.76,95.66,95.53,101.82,91.26,106.67,100.76,92.56
Lesotho,LSO,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,21.5,22.1,22.5,22.7,22.9,23.1,23.3,24.7,24.6,24.2
Lesotho,LSO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.658,3.657,3.677,3.635,3.519,3.438,3.43,3.288,3.264,3.239
Lesotho,LSO,"School enrollment, primary (% net)",SE.PRM.NENR,74.50071,76.2845,78.78223,81.61161,81.89118,83.75431,86.06502,87.35942,88.60833,90.57671
Lesotho,LSO,"School enrollment, secondary (% net)",SE.SEC.NENR,17.97381,20.04806,20.91766,21.89832,23.20564,25.0859,25.8478,40.64296,41.85947,41.35206
Lesotho,LSO,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,..,..,..,..,31.64,..,..,..
Lesotho,LSO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.797468354,3.797468354,..,11.66666667,11.66666667,11.66666667,11.66666667,26.66666667,25,25
Lesotho,LSO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,66.22685524,66.48094874,66.74292745,67.0127969,67.29116933,67.57743594,67.87240626,70.23970395,70.5456894,70.85738563
Lesotho,LSO,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.548,20.067,20.597,21.137,21.689,22.249,22.82,26.502,26.908,27.317
